ts,Received kWh,Occupancy
01/01/2018 12:00 AM,11.25,0.2
01/01/2018 12:15 AM,11.0625,0.2
01/01/2018 12:30 AM,11.125,0.2
01/01/2018 12:45 AM,10.875,0.2
01/01/2018 1:00 AM,11.25,0.2
01/01/2018 1:15 AM,11.125,0.2
01/01/2018 1:30 AM,10.9375,0.2
01/01/2018 1:45 AM,10.9375,0.2
01/01/2018 2:00 AM,10.4375,0.2
01/01/2018 2:15 AM,10.625,0.2
01/01/2018 2:30 AM,10.8125,0.2
01/01/2018 2:45 AM,10.6875,0.2
01/01/2018 3:00 AM,10.625,0.2
01/01/2018 3:15 AM,10.375,0.2
01/01/2018 3:30 AM,10.75,0.2
01/01/2018 3:45 AM,10.4375,0.2
01/01/2018 4:00 AM,10.8125,0.2
01/01/2018 4:15 AM,10.8125,0.2
01/01/2018 4:30 AM,10.3125,0.2
01/01/2018 4:45 AM,10.375,0.2
01/01/2018 5:00 AM,10.625,0.2
01/01/2018 5:15 AM,10.125,0.2
01/01/2018 5:30 AM,10.4375,0.2
01/01/2018 5:45 AM,10.4375,0.2
01/01/2018 6:00 AM,10.1875,0.2
01/01/2018 6:15 AM,10.375,0.2
01/01/2018 6:30 AM,10.1875,0.2
01/01/2018 6:45 AM,10.1875,0.2
01/01/2018 7:00 AM,10.625,0.2
01/01/2018 7:15 AM,10.5625,0.2
01/01/2018 7:30 AM,10.75,0.2
01/01/2018 7:45 AM,11.1875,0.2
01/01/2018 8:00 AM,10.625,0.2
01/01/2018 8:15 AM,10.4375,0.2
01/01/2018 8:30 AM,11,0.2
01/01/2018 8:45 AM,10.875,0.2
01/01/2018 9:00 AM,10.8125,0.2
01/01/2018 9:15 AM,10.5625,0.2
01/01/2018 9:30 AM,11.0625,0.2
01/01/2018 9:45 AM,10.5625,0.2
01/01/2018 10:00 AM,10.5625,0.2
01/01/2018 10:15 AM,10.9375,0.2
01/01/2018 10:30 AM,11.3125,0.2
01/01/2018 10:45 AM,11.25,0.2
01/01/2018 11:00 AM,11.3125,0.2
01/01/2018 11:15 AM,10.9375,0.2
01/01/2018 11:30 AM,11.125,0.2
01/01/2018 11:45 AM,11,0.2
01/01/2018 12:00 PM,10.75,0.2
01/01/2018 12:15 PM,11.625,0.2
01/01/2018 12:30 PM,11.5625,0.2
01/01/2018 12:45 PM,11.5625,0.2
01/01/2018 1:00 PM,11.4375,0.2
01/01/2018 1:15 PM,11.0625,0.2
01/01/2018 1:30 PM,11.5,0.2
01/01/2018 1:45 PM,11.125,0.2
01/01/2018 2:00 PM,11,0.2
01/01/2018 2:15 PM,10.9375,0.2
01/01/2018 2:30 PM,11,0.2
01/01/2018 2:45 PM,11.625,0.2
01/01/2018 3:00 PM,12.3125,0.6864111498
01/01/2018 3:15 PM,11,0.2
01/01/2018 3:30 PM,11.375,0.2
01/01/2018 3:45 PM,11.625,0.2
01/01/2018 4:00 PM,11.4375,0.2
01/01/2018 4:15 PM,11.75,0.2
01/01/2018 4:30 PM,12.5,0.6968641115
01/01/2018 4:45 PM,11.625,0.2
01/01/2018 5:00 PM,12,0.668989547
01/01/2018 5:15 PM,11.4375,0.2
01/01/2018 5:30 PM,12.1875,0.6794425087
01/01/2018 5:45 PM,12.375,0.6898954704
01/01/2018 6:00 PM,11.875,0.2
01/01/2018 6:15 PM,11.625,0.2
01/01/2018 6:30 PM,11.9375,0.6655052265
01/01/2018 6:45 PM,11.5625,0.2
01/01/2018 7:00 PM,11.5,0.2
01/01/2018 7:15 PM,12.3125,0.6864111498
01/01/2018 7:30 PM,11.8125,0.2
01/01/2018 7:45 PM,12.4375,0.6933797909
01/01/2018 8:00 PM,11.8125,0.2
01/01/2018 8:15 PM,12.75,0.7108013937
01/01/2018 8:30 PM,12.5,0.6968641115
01/01/2018 8:45 PM,12.6875,0.7073170732
01/01/2018 9:00 PM,12.4375,0.6933797909
01/01/2018 9:15 PM,13.1875,0.7351916376
01/01/2018 9:30 PM,12.4375,0.6933797909
01/01/2018 9:45 PM,12.3125,0.6864111498
01/01/2018 10:00 PM,11.8125,0.2
01/01/2018 10:15 PM,12.125,0.6759581882
01/01/2018 10:30 PM,11.5,0.2
01/01/2018 10:45 PM,11.875,0.2
01/01/2018 11:00 PM,11.375,0.2
01/01/2018 11:15 PM,11.5,0.2
01/01/2018 11:30 PM,11.5625,0.2
01/01/2018 11:45 PM,11.625,0.2
02/01/2018 12:00 AM,11.25,0.2
02/01/2018 12:15 AM,11.875,0.2
02/01/2018 12:30 AM,12.0625,0.6724738676
02/01/2018 12:45 AM,11.625,0.2
02/01/2018 1:00 AM,11.3125,0.2
02/01/2018 1:15 AM,11.3125,0.2
02/01/2018 1:30 AM,11.375,0.2
02/01/2018 1:45 AM,11.5625,0.2
02/01/2018 2:00 AM,11.125,0.2
02/01/2018 2:15 AM,10.9375,0.2
02/01/2018 2:30 AM,10.5,0.2
02/01/2018 2:45 AM,10.4375,0.2
02/01/2018 3:00 AM,10.75,0.2
02/01/2018 3:15 AM,10.5,0.2
02/01/2018 3:30 AM,10.8125,0.2
02/01/2018 3:45 AM,10.5,0.2
02/01/2018 4:00 AM,10.75,0.2
02/01/2018 4:15 AM,10.375,0.2
02/01/2018 4:30 AM,10.5,0.2
02/01/2018 4:45 AM,10.6875,0.2
02/01/2018 5:00 AM,10.125,0.2
02/01/2018 5:15 AM,10.4375,0.2
02/01/2018 5:30 AM,10.625,0.2
02/01/2018 5:45 AM,10,0.2
02/01/2018 6:00 AM,10.125,0.2
02/01/2018 6:15 AM,10.375,0.2
02/01/2018 6:30 AM,10.1875,0.2
02/01/2018 6:45 AM,10.4375,0.2
02/01/2018 7:00 AM,10.625,0.2
02/01/2018 7:15 AM,10.9375,0.2
02/01/2018 7:30 AM,11,0.2
02/01/2018 7:45 AM,10.8125,0.2
02/01/2018 8:00 AM,10.75,0.2
02/01/2018 8:15 AM,10.6875,0.2
02/01/2018 8:30 AM,11,0.2
02/01/2018 8:45 AM,10.6875,0.2
02/01/2018 9:00 AM,10.5625,0.2
02/01/2018 9:15 AM,11.6875,0.2
02/01/2018 9:30 AM,11.1875,0.2
02/01/2018 9:45 AM,11.1875,0.2
02/01/2018 10:00 AM,11.125,0.2
02/01/2018 10:15 AM,11.375,0.2
02/01/2018 10:30 AM,11.9375,0.6655052265
02/01/2018 10:45 AM,11.75,0.2
02/01/2018 11:00 AM,11.3125,0.2
02/01/2018 11:15 AM,11.75,0.2
02/01/2018 11:30 AM,12.125,0.6759581882
02/01/2018 11:45 AM,11.75,0.2
02/01/2018 12:00 PM,11.875,0.2
02/01/2018 12:15 PM,11.625,0.2
02/01/2018 12:30 PM,11.8125,0.2
02/01/2018 12:45 PM,12.4375,0.6933797909
02/01/2018 1:00 PM,13,0.724738676
02/01/2018 1:15 PM,13.3125,0.7421602787
02/01/2018 1:30 PM,13.625,0.7595818815
02/01/2018 1:45 PM,14.125,0.787456446
02/01/2018 2:00 PM,13.8125,0.7700348432
02/01/2018 2:15 PM,13.625,0.7595818815
02/01/2018 2:30 PM,14.125,0.787456446
02/01/2018 2:45 PM,13.8125,0.7700348432
02/01/2018 3:00 PM,13.625,0.7595818815
02/01/2018 3:15 PM,12.1875,0.6794425087
02/01/2018 3:30 PM,12.0625,0.6724738676
02/01/2018 3:45 PM,11.625,0.2
02/01/2018 4:00 PM,12.5625,0.7003484321
02/01/2018 4:15 PM,11.75,0.2
02/01/2018 4:30 PM,11.8125,0.2
02/01/2018 4:45 PM,11.8125,0.2
02/01/2018 5:00 PM,12.125,0.6759581882
02/01/2018 5:15 PM,12.25,0.6829268293
02/01/2018 5:30 PM,13.0625,0.7282229965
02/01/2018 5:45 PM,12.6875,0.7073170732
02/01/2018 6:00 PM,12,0.668989547
02/01/2018 6:15 PM,12.625,0.7038327526
02/01/2018 6:30 PM,13.0625,0.7282229965
02/01/2018 6:45 PM,13.0625,0.7282229965
02/01/2018 7:00 PM,13,0.724738676
02/01/2018 7:15 PM,13.0625,0.7282229965
02/01/2018 7:30 PM,13.5625,0.756097561
02/01/2018 7:45 PM,13.5,0.7526132404
02/01/2018 8:00 PM,13.125,0.7317073171
02/01/2018 8:15 PM,12.6875,0.7073170732
02/01/2018 8:30 PM,13.1875,0.7351916376
02/01/2018 8:45 PM,13,0.724738676
02/01/2018 9:00 PM,12.5,0.6968641115
02/01/2018 9:15 PM,12.3125,0.6864111498
02/01/2018 9:30 PM,12.5,0.6968641115
02/01/2018 9:45 PM,12.3125,0.6864111498
02/01/2018 10:00 PM,12.125,0.6759581882
02/01/2018 10:15 PM,12.1875,0.6794425087
02/01/2018 10:30 PM,12.4375,0.6933797909
02/01/2018 10:45 PM,12.25,0.6829268293
02/01/2018 11:00 PM,12.1875,0.6794425087
02/01/2018 11:15 PM,12.625,0.7038327526
02/01/2018 11:30 PM,12.25,0.6829268293
02/01/2018 11:45 PM,12.75,0.7108013937
03/01/2018 12:00 AM,12.25,0.6829268293
03/01/2018 12:15 AM,12.25,0.6829268293
03/01/2018 12:30 AM,11.8125,0.2
03/01/2018 12:45 AM,12.8125,0.7142857143
03/01/2018 1:00 AM,12.25,0.6829268293
03/01/2018 1:15 AM,12,0.668989547
03/01/2018 1:30 AM,12.5625,0.7003484321
