Column1,Cooling_Load (kBtu),Cooling_Load,W,kW,Heating_Load,Heating_Load(kBtu),
2018/01/01 0:00,96,96000,154418.9375,154.4189375,808000,808,
2018/01/01 1:00,92,92000,153915.2656,153.9152656,832000,832,
2018/01/01 2:00,88,88000,154684.0469,154.6840469,904000,904,
2018/01/01 3:00,100,100000,155504.8906,155.5048906,960000,960,
2018/01/01 4:00,100,100000,154178.0156,154.1780156,912000,912,
2018/01/01 5:00,96,96000,174183.6563,174.1836563,1388000,1388,
2018/01/01 6:00,88,88000,175369.9531,175.3699531,1612000,1612,
2018/01/01 7:00,96,96000,177066.3594,177.0663594,1620000,1620,
2018/01/01 8:00,92,92000,174414.5625,174.4145625,1592000,1592,
2018/01/01 9:00,116,116000,172715.7188,172.7157188,1560000,1560,
2018/01/01 10:00,128,128000,170298.7813,170.2987813,1492000,1492,
2018/01/01 11:00,124,124000,171647.3438,171.6473438,1320000,1320,
2018/01/01 12:00,112,112000,171739.8125,171.7398125,1188000,1188,
2018/01/01 13:00,116,116000,172297.7188,172.2977188,1092000,1092,
2018/01/01 14:00,124,124000,171836.3594,171.8363594,1076000,1076,
2018/01/01 15:00,128,128000,171594.0625,171.5940625,1028000,1028,
2018/01/01 16:00,120,120000,171579.9688,171.5799688,976000,976,
2018/01/01 17:00,116,116000,173609.8438,173.6098438,1104000,1104,
2018/01/01 18:00,124,124000,175402.2656,175.4022656,1300000,1300,
2018/01/01 19:00,120,120000,174121.0313,174.1210313,1364000,1364,
2018/01/01 20:00,120,120000,173483.0156,173.4830156,1416000,1416,
2018/01/01 21:00,120,120000,176300.75,176.30075,1436000,1436,
2018/01/01 22:00,108,108000,176042.9531,176.0429531,1048000,1048,
2018/01/01 23:00,92,92000,155799.3906,155.7993906,656000,656,
2018/01/02 0:00,92,92000,162676.6719,162.6766719,724000,724,
2018/01/02 1:00,96,96000,155344.9844,155.3449844,812000,812,
2018/01/02 2:00,92,92000,154548.2344,154.5482344,948000,948,
2018/01/02 3:00,92,92000,153472.6875,153.4726875,980000,980,
2018/01/02 4:00,100,100000,153089.9375,153.0899375,960000,960,
2018/01/02 5:00,88,88000,173831.4219,173.8314219,1364000,1364,
2018/01/02 6:00,100,100000,174917.875,174.917875,1608000,1608,
2018/01/02 7:00,92,92000,182423.7813,182.4237813,1588000,1588,
2018/01/02 8:00,92,92000,188273.6563,188.2736563,1576000,1576,
2018/01/02 9:00,96,96000,188987.8438,188.9878438,1540000,1540,
2018/01/02 10:00,124,124000,192061.7344,192.0617344,1456000,1456,
2018/01/02 11:00,132,132000,190903.6875,190.9036875,1316000,1316,
2018/01/02 12:00,116,116000,189984.1563,189.9841563,1260000,1260,
2018/01/02 13:00,112,112000,189791.2656,189.7912656,1100000,1100,
2018/01/02 14:00,136,136000,191352.125,191.352125,1100000,1100,
2018/01/02 15:00,124,124000,189129.4688,189.1294688,956000,956,
2018/01/02 16:00,132,132000,187906.5,187.9065,936000,936,
2018/01/02 17:00,108,108000,182661.4375,182.6614375,1088000,1088,
2018/01/02 18:00,124,124000,177444.1875,177.4441875,1224000,1224,
2018/01/02 19:00,120,120000,172967.6094,172.9676094,1432000,1432,
2018/01/02 20:00,120,120000,173141.0469,173.1410469,1392000,1392,
2018/01/02 21:00,124,124000,173276.0313,173.2760313,1460000,1460,
2018/01/02 22:00,108,108000,173867.5938,173.8675938,1028000,1028,
2018/01/02 23:00,92,92000,164402.6563,164.4026563,572000,572,
2018/01/03 0:00,100,100000,162245,162.245,684000,684,
2018/01/03 1:00,88,88000,163625.3906,163.6253906,780000,780,
2018/01/03 2:00,104,104000,162981.7813,162.9817813,804000,804,
2018/01/03 3:00,88,88000,158912.375,158.912375,880000,880,
2018/01/03 4:00,96,96000,161529.6563,161.5296563,836000,836,
2018/01/03 5:00,88,88000,178488.6875,178.4886875,1280000,1280,
2018/01/03 6:00,100,100000,182447.2188,182.4472188,1596000,1596,
2018/01/03 7:00,96,96000,179785.7344,179.7857344,1568000,1568,
2018/01/03 8:00,108,108000,183608.0156,183.6080156,1604000,1604,
2018/01/03 9:00,108,108000,191847.2656,191.8472656,1504000,1504,
2018/01/03 10:00,112,112000,187333.9688,187.3339688,1504000,1504,
2018/01/03 11:00,124,124000,192742.4063,192.7424063,1416000,1416,
2018/01/03 12:00,132,132000,190468.5156,190.4685156,1160000,1160,
2018/01/03 13:00,124,124000,191225.6406,191.2256406,1124000,1124,
2018/01/03 14:00,120,120000,188311.6406,188.3116406,1020000,1020,
2018/01/03 15:00,128,128000,190286.9531,190.2869531,928000,928,
2018/01/03 16:00,128,128000,187255.8438,187.2558438,892000,892,
2018/01/03 17:00,120,120000,183286.625,183.286625,1108000,1108,
2018/01/03 18:00,120,120000,180582.6406,180.5826406,1252000,1252,
2018/01/03 19:00,124,124000,176990.4531,176.9904531,1404000,1404,
2018/01/03 20:00,124,124000,183254.0938,183.2540938,1428000,1428,
2018/01/03 21:00,124,124000,176401.375,176.401375,1480000,1480,
2018/01/03 22:00,108,108000,174232.8438,174.2328438,948000,948,
2018/01/03 23:00,92,92000,156094.75,156.09475,444000,444,
2018/01/04 0:00,100,100000,154618.9844,154.6189844,656000,656,
