Date,Cooling_Load,kWh,Heating_Load
2018/01/01 0:00,96000,154.4189375,808000
2018/01/01 1:00,92000,153.9152656,832000
2018/01/01 2:00,88000,154.6840469,904000
2018/01/01 3:00,100000,155.5048906,960000
2018/01/01 4:00,100000,154.1780156,912000
2018/01/01 5:00,96000,174.1836563,1388000
2018/01/01 6:00,88000,175.3699531,1612000
2018/01/01 7:00,96000,177.0663594,1620000
2018/01/01 8:00,92000,174.4145625,1592000
2018/01/01 9:00,116000,172.7157188,1560000
2018/01/01 10:00,128000,170.2987813,1492000
2018/01/01 11:00,124000,171.6473438,1320000
2018/01/01 12:00,112000,171.7398125,1188000
2018/01/01 13:00,116000,172.2977188,1092000
2018/01/01 14:00,124000,171.8363594,1076000
2018/01/01 15:00,128000,171.5940625,1028000
2018/01/01 16:00,120000,171.5799688,976000
2018/01/01 17:00,116000,173.6098438,1104000
2018/01/01 18:00,124000,175.4022656,1300000
2018/01/01 19:00,120000,174.1210313,1364000
2018/01/01 20:00,120000,173.4830156,1416000
2018/01/01 21:00,120000,176.30075,1436000
2018/01/01 22:00,108000,176.0429531,1048000
2018/01/01 23:00,92000,155.7993906,656000
2018/01/02 0:00,92000,162.6766719,724000
2018/01/02 1:00,96000,155.3449844,812000
2018/01/02 2:00,92000,154.5482344,948000
2018/01/02 3:00,92000,153.4726875,980000
2018/01/02 4:00,100000,153.0899375,960000
2018/01/02 5:00,88000,173.8314219,1364000
2018/01/02 6:00,100000,174.917875,1608000
2018/01/02 7:00,92000,182.4237813,1588000
2018/01/02 8:00,92000,188.2736563,1576000
2018/01/02 9:00,96000,188.9878438,1540000
2018/01/02 10:00,124000,192.0617344,1456000
2018/01/02 11:00,132000,190.9036875,1316000
2018/01/02 12:00,116000,189.9841563,1260000
2018/01/02 13:00,112000,189.7912656,1100000
2018/01/02 14:00,136000,191.352125,1100000
2018/01/02 15:00,124000,189.1294688,956000
2018/01/02 16:00,132000,187.9065,936000
2018/01/02 17:00,108000,182.6614375,1088000
2018/01/02 18:00,124000,177.4441875,1224000
2018/01/02 19:00,120000,172.9676094,1432000
2018/01/02 20:00,120000,173.1410469,1392000
2018/01/02 21:00,124000,173.2760313,1460000
2018/01/02 22:00,108000,173.8675938,1028000
2018/01/02 23:00,92000,164.4026563,572000
2018/01/03 0:00,100000,162.245,684000
2018/01/03 1:00,88000,163.6253906,780000
2018/01/03 2:00,104000,162.9817813,804000
2018/01/03 3:00,88000,158.912375,880000
2018/01/03 4:00,96000,161.5296563,836000
2018/01/03 5:00,88000,178.4886875,1280000
2018/01/03 6:00,100000,182.4472188,1596000
2018/01/03 7:00,96000,179.7857344,1568000
2018/01/03 8:00,108000,183.6080156,1604000
2018/01/03 9:00,108000,191.8472656,1504000
2018/01/03 10:00,112000,187.3339688,1504000
2018/01/03 11:00,124000,192.7424063,1416000
2018/01/03 12:00,132000,190.4685156,1160000
2018/01/03 13:00,124000,191.2256406,1124000
2018/01/03 14:00,120000,188.3116406,1020000
2018/01/03 15:00,128000,190.2869531,928000
2018/01/03 16:00,128000,187.2558438,892000
2018/01/03 17:00,120000,183.286625,1108000
2018/01/03 18:00,120000,180.5826406,1252000
2018/01/03 19:00,124000,176.9904531,1404000
2018/01/03 20:00,124000,183.2540938,1428000
2018/01/03 21:00,124000,176.401375,1480000
2018/01/03 22:00,108000,174.2328438,948000
2018/01/03 23:00,92000,156.09475,444000
2018/01/04 0:00,100000,154.6189844,656000
2018/01/04 1:00,96000,151.3631875,724000
2018/01/04 2:00,96000,150.4944219,736000
2018/01/04 3:00,92000,151.61475,788000
2018/01/04 4:00,100000,151.5694531,820000
2018/01/04 5:00,84000,166.2619844,1236000
2018/01/04 6:00,100000,169.441875,1628000
2018/01/04 7:00,100000,180.3555625,1604000
2018/01/04 8:00,104000,185.1965938,1632000
2018/01/04 9:00,104000,182.8216406,1556000
2018/01/04 10:00,124000,186.5147188,1556000
2018/01/04 11:00,116000,197.4497188,1460000
2018/01/04 12:00,128000,195.6609531,1424000
2018/01/04 13:00,124000,191.9414688,1076000
2018/01/04 14:00,112000,190.0942188,1052000
2018/01/04 15:00,136000,189.7896406,980000
2018/01/04 16:00,124000,194.6119063,1064000
2018/01/04 17:00,128000,183.3605156,1276000
2018/01/04 18:00,128000,175.1324531,1364000
2018/01/04 19:00,120000,173.1507344,1464000
2018/01/04 20:00,128000,171.5616875,1304000
2018/01/04 21:00,124000,170.19325,1368000
2018/01/04 22:00,112000,167.6888281,896000
2018/01/04 23:00,96000,153.2675313,472000
2018/01/05 0:00,92000,154.8631563,628000
2018/01/05 1:00,100000,152.5516563,712000
2018/01/05 2:00,96000,153.5675,748000
2018/01/05 3:00,92000,153.1874688,724000
2018/01/05 4:00,92000,153.3031875,848000
2018/01/05 5:00,92000,178.8266719,1212000
2018/01/05 6:00,96000,180.1787031,1644000
2018/01/05 7:00,104000,192.6504688,1596000
2018/01/05 8:00,120000,192.0595313,1620000
2018/01/05 9:00,124000,187.6105938,1504000
2018/01/05 10:00,108000,190.6714688,1508000
2018/01/05 11:00,124000,187.4208594,1280000
2018/01/05 12:00,120000,187.6843125,1180000
2018/01/05 13:00,120000,188.407,1200000
2018/01/05 14:00,120000,187.1088594,1164000
2018/01/05 15:00,124000,184.3020781,1292000
2018/01/05 16:00,112000,182.2925313,1348000
2018/01/05 17:00,124000,183.6447344,1408000
2018/01/05 18:00,120000,181.7818281,1376000
2018/01/05 19:00,128000,179.7169844,1384000
2018/01/05 20:00,120000,174.2995469,1380000
2018/01/05 21:00,116000,171.9804063,1380000
2018/01/05 22:00,116000,171.9002344,856000
2018/01/05 23:00,92000,152.3362969,376000
2018/01/06 0:00,100000,152.5897656,508000
2018/01/06 1:00,96000,152.5668281,536000
2018/01/06 2:00,92000,151.6743125,584000
2018/01/06 3:00,96000,151.9131406,544000
2018/01/06 4:00,96000,150.7859844,488000
2018/01/06 5:00,92000,152.1876875,580000
2018/01/06 6:00,92000,149.1021094,628000
2018/01/06 7:00,100000,150.18625,524000
2018/01/06 8:00,92000,149.5623594,556000
2018/01/06 9:00,100000,143.1342188,508000
2018/01/06 10:00,88000,144.3436094,596000
2018/01/06 11:00,96000,145.3448594,640000
2018/01/06 12:00,92000,146.1776875,560000
2018/01/06 13:00,96000,147.6233438,592000
2018/01/06 14:00,100000,150.01925,384000
2018/01/06 15:00,92000,149.0286875,292000
2018/01/06 16:00,100000,148.35275,308000
2018/01/06 17:00,92000,150.46,404000
2018/01/06 18:00,96000,155.3836563,532000
2018/01/06 19:00,100000,153.4524531,612000
2018/01/06 20:00,92000,163.0850781,700000
2018/01/06 21:00,100000,156.4475938,668000
2018/01/06 22:00,100000,148.345625,760000
2018/01/06 23:00,92000,154.8875781,656000
2018/01/07 0:00,92000,156.1130781,732000
2018/01/07 1:00,104000,155.8580938,728000
2018/01/07 2:00,96000,157.5136719,712000
