Date,Cooling_Load,kWh,Heating_Load
2018/01/01 0:00,0,42,419840
2018/01/01 1:00,0,43,420352
2018/01/01 2:00,0,45,220160
2018/01/01 3:00,0,44,390144
2018/01/01 4:00,0,43,450048
2018/01/01 5:00,0.74,45,240640A
2018/01/01 6:00,0,42,620032
2018/01/01 7:00,0,43,410112
2018/01/01 8:00,0,43,229888
2018/01/01 9:00,0,43,370176
2018/01/01 10:00,0,50,512
2018/01/01 11:00,758.8,46,360448
2018/01/01 12:00,0,44,189952
2018/01/01 13:00,0,44,369664
2018/01/01 14:00,0,44,360960
2018/01/01 15:00,1499.24,43,369664
2018/01/01 16:00,850795,43,320000
2018/01/01 17:00,667868.5,45,280064
2018/01/01 18:00,621101.5,43,280064
2018/01/01 19:00,109948.17,44,949760
2018/01/01 20:00,0,45,459776
2018/01/01 21:00,0,43,10752
2018/01/01 22:00,0,42,459776
2018/01/01 23:00,0,43,240640
2018/01/02 0:00,754.18,45,239616
2018/01/02 1:00,0,44,470016
2018/01/02 2:00,0,45,450048
2018/01/02 3:00,0,44,229888
2018/01/02 4:00,0,43,239616
2018/01/02 5:00,0,46,460288
2018/01/02 6:00,0,43,220160
2018/01/02 7:00,89.13,45,460288
2018/01/02 8:00,0,46,419840
2018/01/02 9:00,168.79,45,410112
2018/01/02 10:00,1800.83,50,390144
2018/01/02 11:00,907073,48,240128
2018/01/02 12:00,1219153.75,51,469504
2018/01/02 13:00,979541.25,51,460288
2018/01/02 14:00,671636.88,51,460288
2018/01/02 15:00,806674.69,48,260096
2018/01/02 16:00,1316413.38,50,480256
2018/01/02 17:00,576310.19,49,519680
2018/01/02 18:00,789262.75,47,570368
2018/01/02 19:00,856993.06,45,779776
2018/01/02 20:00,588134.38,45,20480
2018/01/02 21:00,645820.38,44,560128
2018/01/02 22:00,745009.19,44,580608
2018/01/02 23:00,742906.69,43,569856
2018/01/03 0:00,928633.25,43,549888
2018/01/03 1:00,680688.19,45,569344
2018/01/03 2:00,693744.19,46,600576
2018/01/03 3:00,931310.88,44,530432
2018/01/03 4:00,641739.06,46,560128
2018/01/03 5:00,684903.38,44,319488
2018/01/03 6:00,691511.56,47,570368
2018/01/03 7:00,541910.5,45,580096
2018/01/03 8:00,619719.88,49,580096
2018/01/03 9:00,488831.28,50,809984
2018/01/03 10:00,926542.56,49,260608
2018/01/03 11:00,1164602.13,53,509952
2018/01/03 12:00,2370583,56,899584
2018/01/03 13:00,846185,56,600064
2018/01/03 14:00,1050632.13,55,270336
2018/01/03 15:00,686033.69,59,519680
2018/01/03 16:00,1156870,59,260608
2018/01/03 17:00,784335.69,54,269824
2018/01/03 18:00,662032.38,49,299520
2018/01/03 19:00,797197.38,50,560128
2018/01/03 20:00,677250.38,45,280064
2018/01/03 21:00,636767.5,44,280064
2018/01/03 22:00,972874.19,46,540160
2018/01/03 23:00,704186.56,46,29696
2018/01/04 0:00,582030.5,45,590336
2018/01/04 1:00,598591,45,310272
2018/01/04 2:00,737370.25,46,309760
2018/01/04 3:00,728545.69,44,609792
2018/01/04 4:00,733930.75,44,610304
2018/01/04 5:00,549119.06,45,590336
2018/01/04 6:00,598005,45,310272
2018/01/04 7:00,646718.06,46,300544
2018/01/04 8:00,573284.5,45,570368
2018/01/04 9:00,908188.69,49,310272
