Date,Cooling_Load,kWh,Heating_Load
2018/01/01 0:00,"96,000.00",154.00,"808,000.00"
2018/01/01 1:00,"92,000.00",154.00,"832,000.00"
2018/01/01 2:00,"88,000.00",155.00,"904,000.00"
2018/01/01 3:00,"100,000.00",156.00,"960,000.00"
2018/01/01 4:00,"100,000.00",154.00,"912,000.00"
2018/01/01 5:00,"96,000.00",174.00,"1,388,000.00"
2018/01/01 6:00,"88,000.00",175.00,"1,612,000.00"
2018/01/01 7:00,"96,000.00",177.00,"1,620,000.00"
2018/01/01 8:00,"92,000.00",174.00,"1,592,000.00"
2018/01/01 9:00,"116,000.00",173.00,"1,560,000.00"
2018/01/01 10:00,"128,000.00",170.00,"1,492,000.00"
2018/01/01 11:00,"124,000.00",172.00,"1,320,000.00"
2018/01/01 12:00,"112,000.00",172.00,"1,188,000.00"
2018/01/01 13:00,"116,000.00",172.00,"1,092,000.00"
2018/01/01 14:00,"124,000.00",172.00,"1,076,000.00"
2018/01/01 15:00,"128,000.00",172.00,"1,028,000.00"
2018/01/01 16:00,"120,000.00",172.00,"976,000.00"
2018/01/01 17:00,"116,000.00",174.00,"1,104,000.00"
2018/01/01 18:00,"124,000.00",175.00,"1,300,000.00"
2018/01/01 19:00,"120,000.00",174.00,"1,364,000.00"
2018/01/01 20:00,"120,000.00",173.00,"1,416,000.00"
2018/01/01 21:00,"120,000.00",176.00,"1,436,000.00"
2018/01/01 22:00,"108,000.00",176.00,"1,048,000.00"
2018/01/01 23:00,"92,000.00",156.00,"656,000.00"
2018/01/02 0:00,"92,000.00",163.00,"724,000.00"
2018/01/02 1:00,"96,000.00",155.00,"812,000.00"
2018/01/02 2:00,"92,000.00",155.00,"948,000.00"
2018/01/02 3:00,"92,000.00",153.00,"980,000.00"
2018/01/02 4:00,"100,000.00",153.00,"960,000.00"
2018/01/02 5:00,"88,000.00",174.00,"1,364,000.00"
2018/01/02 6:00,"100,000.00",175.00,"1,608,000.00"
2018/01/02 7:00,"92,000.00",182.00,"1,588,000.00"
2018/01/02 8:00,"92,000.00",188.00,"1,576,000.00"
2018/01/02 9:00,"96,000.00",189.00,"1,540,000.00"
2018/01/02 10:00,"124,000.00",192.00,"1,456,000.00"
2018/01/02 11:00,"132,000.00",191.00,"1,316,000.00"
2018/01/02 12:00,"116,000.00",190.00,"1,260,000.00"
2018/01/02 13:00,"112,000.00",190.00,"1,100,000.00"
2018/01/02 14:00,"136,000.00",191.00,"1,100,000.00"
2018/01/02 15:00,"124,000.00",189.00,"956,000.00"
2018/01/02 16:00,"132,000.00",188.00,"936,000.00"
2018/01/02 17:00,"108,000.00",183.00,"1,088,000.00"
2018/01/02 18:00,"124,000.00",177.00,"1,224,000.00"
2018/01/02 19:00,"120,000.00",173.00,"1,432,000.00"
2018/01/02 20:00,"120,000.00",173.00,"1,392,000.00"
2018/01/02 21:00,"124,000.00",173.00,"1,460,000.00"
2018/01/02 22:00,"108,000.00",174.00,"1,028,000.00"
2018/01/02 23:00,"92,000.00",164.00,"572,000.00"
2018/01/03 0:00,"100,000.00",162.00,"684,000.00"
2018/01/03 1:00,"88,000.00",164.00,"780,000.00"
2018/01/03 2:00,"104,000.00",163.00,"804,000.00"
2018/01/03 3:00,"88,000.00",159.00,"880,000.00"
2018/01/03 4:00,"96,000.00",162.00,"836,000.00"
2018/01/03 5:00,"88,000.00",178.00,"1,280,000.00"
2018/01/03 6:00,"100,000.00",182.00,"1,596,000.00"
2018/01/03 7:00,"96,000.00",180.00,"1,568,000.00"
2018/01/03 8:00,"108,000.00",184.00,"1,604,000.00"
2018/01/03 9:00,"108,000.00",192.00,"1,504,000.00"
2018/01/03 10:00,"112,000.00",187.00,"1,504,000.00"
2018/01/03 11:00,"124,000.00",193.00,"1,416,000.00"
2018/01/03 12:00,"132,000.00",190.00,"1,160,000.00"
2018/01/03 13:00,"124,000.00",191.00,"1,124,000.00"
2018/01/03 14:00,"120,000.00",188.00,"1,020,000.00"
2018/01/03 15:00,"128,000.00",190.00,"928,000.00"
2018/01/03 16:00,"128,000.00",187.00,"892,000.00"
2018/01/03 17:00,"120,000.00",183.00,"1,108,000.00"
2018/01/03 18:00,"120,000.00",181.00,"1,252,000.00"
2018/01/03 19:00,"124,000.00",177.00,"1,404,000.00"
2018/01/03 20:00,"124,000.00",183.00,"1,428,000.00"
2018/01/03 21:00,"124,000.00",176.00,"1,480,000.00"
2018/01/03 22:00,"108,000.00",174.00,"948,000.00"
2018/01/03 23:00,"92,000.00",156.00,"444,000.00"
2018/01/04 0:00,"100,000.00",155.00,"656,000.00"
2018/01/04 1:00,"96,000.00",151.00,"724,000.00"
2018/01/04 2:00,"96,000.00",150.00,"736,000.00"
2018/01/04 3:00,"92,000.00",152.00,"788,000.00"
2018/01/04 4:00,"100,000.00",152.00,"820,000.00"
2018/01/04 5:00,"84,000.00",166.00,"1,236,000.00"
2018/01/04 6:00,"100,000.00",169.00,"1,628,000.00"
2018/01/04 7:00,"100,000.00",180.00,"1,604,000.00"
2018/01/04 8:00,"104,000.00",185.00,"1,632,000.00"
2018/01/04 9:00,"104,000.00",183.00,"1,556,000.00"
2018/01/04 10:00,"124,000.00",187.00,"1,556,000.00"
2018/01/04 11:00,"116,000.00",197.00,"1,460,000.00"
2018/01/04 12:00,"128,000.00",196.00,"1,424,000.00"
2018/01/04 13:00,"124,000.00",192.00,"1,076,000.00"
2018/01/04 14:00,"112,000.00",190.00,"1,052,000.00"
2018/01/04 15:00,"136,000.00",190.00,"980,000.00"
2018/01/04 16:00,"124,000.00",195.00,"1,064,000.00"
2018/01/04 17:00,"128,000.00",183.00,"1,276,000.00"
2018/01/04 18:00,"128,000.00",175.00,"1,364,000.00"
2018/01/04 19:00,"120,000.00",173.00,"1,464,000.00"
2018/01/04 20:00,"128,000.00",172.00,"1,304,000.00"
2018/01/04 21:00,"124,000.00",170.00,"1,368,000.00"
2018/01/04 22:00,"112,000.00",168.00,"896,000.00"
2018/01/04 23:00,"96,000.00",153.00,"472,000.00"
2018/01/05 0:00,"92,000.00",155.00,"628,000.00"
2018/01/05 1:00,"100,000.00",153.00,"712,000.00"
2018/01/05 2:00,"96,000.00",154.00,"748,000.00"
2018/01/05 3:00,"92,000.00",153.00,"724,000.00"
2018/01/05 4:00,"92,000.00",153.00,"848,000.00"
2018/01/05 5:00,"92,000.00",179.00,"1,212,000.00"
2018/01/05 6:00,"96,000.00",180.00,"1,644,000.00"
2018/01/05 7:00,"104,000.00",193.00,"1,596,000.00"
2018/01/05 8:00,"120,000.00",192.00,"1,620,000.00"
2018/01/05 9:00,"124,000.00",188.00,"1,504,000.00"
2018/01/05 10:00,"108,000.00",191.00,"1,508,000.00"
2018/01/05 11:00,"124,000.00",187.00,"1,280,000.00"
2018/01/05 12:00,"120,000.00",188.00,"1,180,000.00"
2018/01/05 13:00,"120,000.00",188.00,"1,200,000.00"
2018/01/05 14:00,"120,000.00",187.00,"1,164,000.00"
2018/01/05 15:00,"124,000.00",184.00,"1,292,000.00"
2018/01/05 16:00,"112,000.00",182.00,"1,348,000.00"
2018/01/05 17:00,"124,000.00",184.00,"1,408,000.00"
2018/01/05 18:00,"120,000.00",182.00,"1,376,000.00"
2018/01/05 19:00,"128,000.00",180.00,"1,384,000.00"
2018/01/05 20:00,"120,000.00",174.00,"1,380,000.00"
2018/01/05 21:00,"116,000.00",172.00,"1,380,000.00"
2018/01/05 22:00,"116,000.00",172.00,"856,000.00"
2018/01/05 23:00,"92,000.00",152.00,"376,000.00"
2018/01/06 0:00,"100,000.00",153.00,"508,000.00"
2018/01/06 1:00,"96,000.00",153.00,"536,000.00"
2018/01/06 2:00,"92,000.00",152.00,"584,000.00"
2018/01/06 3:00,"96,000.00",152.00,"544,000.00"
2018/01/06 4:00,"96,000.00",151.00,"488,000.00"
2018/01/06 5:00,"92,000.00",152.00,"580,000.00"
2018/01/06 6:00,"92,000.00",149.00,"628,000.00"
2018/01/06 7:00,"100,000.00",150.00,"524,000.00"
2018/01/06 8:00,"92,000.00",150.00,"556,000.00"
2018/01/06 9:00,"100,000.00",143.00,"508,000.00"
2018/01/06 10:00,"88,000.00",144.00,"596,000.00"
2018/01/06 11:00,"96,000.00",145.00,"640,000.00"
2018/01/06 12:00,"92,000.00",146.00,"560,000.00"
2018/01/06 13:00,"96,000.00",148.00,"592,000.00"
2018/01/06 14:00,"100,000.00",150.00,"384,000.00"
2018/01/06 15:00,"92,000.00",149.00,"292,000.00"
2018/01/06 16:00,"100,000.00",148.00,"308,000.00"
2018/01/06 17:00,"92,000.00",150.00,"404,000.00"
2018/01/06 18:00,"96,000.00",155.00,"532,000.00"
2018/01/06 19:00,"100,000.00",153.00,"612,000.00"
2018/01/06 20:00,"92,000.00",163.00,"700,000.00"
2018/01/06 21:00,"100,000.00",156.00,"668,000.00"
