Date,Cooling_Load,kWh,Heating_Load
2018/01/01 0:00,96000,154,808000
2018/01/01 1:00,92000,154,832000
2018/01/01 2:00,88000,155,904000
2018/01/01 3:00,100000,156,960000
2018/01/01 4:00,100000,154,912000
2018/01/01 5:00,96000,174,1388000
2018/01/01 6:00,88000,175,1612000
2018/01/01 7:00,96000,177,1620000
2018/01/01 8:00,92000,174,1592000
2018/01/01 9:00,116000,173,1560000
2018/01/01 10:00,128000,170,1492000
2018/01/01 11:00,124000,172,1320000
2018/01/01 12:00,112000,172,1188000
2018/01/01 13:00,116000,172,1092000
2018/01/01 14:00,124000,172,1076000
2018/01/01 15:00,128000,172,1028000
2018/01/01 16:00,120000,172,976000
2018/01/01 17:00,116000,174,1104000
2018/01/01 18:00,124000,175,1300000
2018/01/01 19:00,120000,174,1364000
2018/01/01 20:00,120000,173,1416000
2018/01/01 21:00,120000,176,1436000
2018/01/01 22:00,108000,176,1048000
2018/01/01 23:00,92000,156,656000
2018/01/02 0:00,92000,163,724000
2018/01/02 1:00,96000,155,812000
2018/01/02 2:00,92000,155,948000
2018/01/02 3:00,92000,153,980000
2018/01/02 4:00,100000,153,960000
2018/01/02 5:00,88000,174,1364000
2018/01/02 6:00,100000,175,1608000
2018/01/02 7:00,92000,182,1588000
2018/01/02 8:00,92000,188,1576000
2018/01/02 9:00,96000,189,1540000
2018/01/02 10:00,124000,192,1456000
2018/01/02 11:00,132000,191,1316000
2018/01/02 12:00,116000,190,1260000
2018/01/02 13:00,112000,190,1100000
2018/01/02 14:00,136000,191,1100000
2018/01/02 15:00,124000,189,956000
2018/01/02 16:00,132000,188,936000
2018/01/02 17:00,108000,183,1088000
2018/01/02 18:00,124000,177,1224000
2018/01/02 19:00,120000,173,1432000
2018/01/02 20:00,120000,173,1392000
2018/01/02 21:00,124000,173,1460000
2018/01/02 22:00,108000,174,1028000
2018/01/02 23:00,92000,164,572000
2018/01/03 0:00,100000,162,684000
2018/01/03 1:00,88000,164,780000
2018/01/03 2:00,104000,163,804000
2018/01/03 3:00,88000,159,880000
2018/01/03 4:00,96000,162,836000
2018/01/03 5:00,88000,178,1280000
2018/01/03 6:00,100000,182,1596000
2018/01/03 7:00,96000,180,1568000
2018/01/03 8:00,108000,184,1604000
2018/01/03 9:00,108000,192,1504000
2018/01/03 10:00,112000,187,1504000
2018/01/03 11:00,124000,193,1416000
2018/01/03 12:00,132000,190,1160000
2018/01/03 13:00,124000,191,1124000
2018/01/03 14:00,120000,188,1020000
2018/01/03 15:00,128000,190,928000
2018/01/03 16:00,128000,187,892000
2018/01/03 17:00,120000,183,1108000
2018/01/03 18:00,120000,181,1252000
2018/01/03 19:00,124000,177,1404000
2018/01/03 20:00,124000,183,1428000
2018/01/03 21:00,124000,176,1480000
2018/01/03 22:00,108000,174,948000
2018/01/03 23:00,92000,156,444000
2018/01/04 0:00,100000,155,656000
2018/01/04 1:00,96000,151,724000
2018/01/04 2:00,96000,150,736000
2018/01/04 3:00,92000,152,788000
2018/01/04 4:00,100000,152,820000
2018/01/04 5:00,84000,166,1236000
2018/01/04 6:00,100000,169,1628000
2018/01/04 7:00,100000,180,1604000
2018/01/04 8:00,104000,185,1632000
2018/01/04 9:00,104000,183,1556000
2018/01/04 10:00,124000,187,1556000
2018/01/04 11:00,116000,197,1460000
2018/01/04 12:00,128000,196,1424000
2018/01/04 13:00,124000,192,1076000
2018/01/04 14:00,112000,190,1052000
2018/01/04 15:00,136000,190,980000
2018/01/04 16:00,124000,195,1064000
2018/01/04 17:00,128000,183,1276000
2018/01/04 18:00,128000,175,1364000
2018/01/04 19:00,120000,173,1464000
2018/01/04 20:00,128000,172,1304000
2018/01/04 21:00,124000,170,1368000
2018/01/04 22:00,112000,168,896000
2018/01/04 23:00,96000,153,472000
2018/01/05 0:00,92000,155,628000
2018/01/05 1:00,100000,153,712000
2018/01/05 2:00,96000,154,748000
2018/01/05 3:00,92000,153,724000
2018/01/05 4:00,92000,153,848000
2018/01/05 5:00,92000,179,1212000
2018/01/05 6:00,96000,180,1644000
2018/01/05 7:00,104000,193,1596000
2018/01/05 8:00,120000,192,1620000
2018/01/05 9:00,124000,188,1504000
2018/01/05 10:00,108000,191,1508000
2018/01/05 11:00,124000,187,1280000
2018/01/05 12:00,120000,188,1180000
2018/01/05 13:00,120000,188,1200000
2018/01/05 14:00,120000,187,1164000
2018/01/05 15:00,124000,184,1292000
2018/01/05 16:00,112000,182,1348000
2018/01/05 17:00,124000,184,1408000
2018/01/05 18:00,120000,182,1376000
2018/01/05 19:00,128000,180,1384000
2018/01/05 20:00,120000,174,1380000
2018/01/05 21:00,116000,172,1380000
2018/01/05 22:00,116000,172,856000
2018/01/05 23:00,92000,152,376000
2018/01/06 0:00,100000,153,508000
2018/01/06 1:00,96000,153,536000
2018/01/06 2:00,92000,152,584000
2018/01/06 3:00,96000,152,544000
2018/01/06 4:00,96000,151,488000
2018/01/06 5:00,92000,152,580000
2018/01/06 6:00,92000,149,628000
2018/01/06 7:00,100000,150,524000
2018/01/06 8:00,92000,150,556000
2018/01/06 9:00,100000,143,508000
2018/01/06 10:00,88000,144,596000
2018/01/06 11:00,96000,145,640000
2018/01/06 12:00,92000,146,560000
2018/01/06 13:00,96000,148,592000
2018/01/06 14:00,100000,150,384000
2018/01/06 15:00,92000,149,292000
2018/01/06 16:00,100000,148,308000
2018/01/06 17:00,92000,150,404000
2018/01/06 18:00,96000,155,532000
2018/01/06 19:00,100000,153,612000
2018/01/06 20:00,92000,163,700000
2018/01/06 21:00,100000,156,668000
2018/01/06 22:00,100000,148,760000
2018/01/06 23:00,92000,155,656000
2018/01/07 0:00,92000,156,732000
2018/01/07 1:00,104000,156,728000
2018/01/07 2:00,96000,158,712000
2018/01/07 3:00,96000,156,784000
2018/01/07 4:00,92000,172,1224000
2018/01/07 5:00,104000,173,1564000
2018/01/07 6:00,96000,178,1600000
2018/01/07 7:00,112000,190,1488000
2018/01/07 8:00,124000,190,1436000
2018/01/07 9:00,184000,199,1372000
2018/01/07 10:00,128000,204,1204000
2018/01/07 11:00,124000,206,1344000
2018/01/07 12:00,128000,211,1296000
2018/01/07 13:00,132000,208,1420000
2018/01/07 14:00,120000,207,1220000
2018/01/07 15:00,132000,207,1328000
2018/01/07 16:00,96000,203,1140000
2018/01/07 17:00,164000,203,1404000
2018/01/07 18:00,128000,203,1336000
2018/01/07 19:00,128000,198,1400000
2018/01/07 20:00,128000,197,1360000
2018/01/07 21:00,132000,187,1464000
2018/01/07 22:00,116000,176,792000
2018/01/07 23:00,104000,160,400000
2018/01/08 0:00,96000,158,380000
2018/01/08 1:00,92000,154,588000
2018/01/08 2:00,100000,159,544000
2018/01/08 3:00,88000,149,596000
2018/01/08 4:00,96000,151,624000
2018/01/08 5:00,88000,174,1140000
2018/01/08 6:00,108000,179,1604000
2018/01/08 7:00,124000,200,1556000
2018/01/08 8:00,120000,204,1592000
2018/01/08 9:00,120000,212,1392000
2018/01/08 10:00,128000,212,1404000
2018/01/08 11:00,132000,213,1264000
2018/01/08 12:00,120000,215,1260000
2018/01/08 13:00,132000,212,1008000
2018/01/08 14:00,128000,210,940000
2018/01/08 15:00,132000,205,856000
2018/01/08 16:00,124000,205,876000
2018/01/08 17:00,132000,209,1032000
2018/01/08 18:00,132000,210,1124000
2018/01/08 19:00,132000,196,1212000
2018/01/08 20:00,128000,197,1320000
2018/01/08 21:00,132000,194,1460000
2018/01/08 22:00,124000,177,992000
2018/01/08 23:00,100000,154,336000
2018/01/09 0:00,96000,157,392000
2018/01/09 1:00,96000,155,448000
2018/01/09 2:00,96000,148,460000
2018/01/09 3:00,100000,149,476000
2018/01/09 4:00,100000,153,532000
2018/01/09 5:00,96000,171,1048000
2018/01/09 6:00,136000,173,1572000
2018/01/09 7:00,116000,191,1488000
2018/01/09 8:00,128000,189,1508000
2018/01/09 9:00,124000,199,1384000
