Time,CF,,,
1/1/2018 0:00,210.00,,,
1/1/2018 1:00,220.00,,,
1/1/2018 2:00,200.00,,,
1/1/2018 3:00,250.00,,,
1/1/2018 4:00,270.00,,,
1/1/2018 5:00,250.00,,,
1/1/2018 6:00,250.00,,,
1/1/2018 7:00,240.00,,,
1/1/2018 8:00,220.00,,,
1/1/2018 9:00,270.00,,,
1/1/2018 10:00,190.00,,,
1/1/2018 11:00,200.00,,,
1/1/2018 12:00,170.00,,,
1/1/2018 13:00,100.00,,,
1/1/2018 14:00,180.00,,,
1/1/2018 15:00,90.00,,,
1/1/2018 16:00,50.00,,,
1/1/2018 17:00,190.00,,,
1/1/2018 18:00,230.00,,,
1/1/2018 19:00,180.00,,,
1/1/2018 20:00,200.00,,,
1/1/2018 21:00,190.00,,,
1/1/2018 22:00,210.00,,,
1/1/2018 23:00,270.00,,,
1/2/2018 0:00,180.00,,,
1/2/2018 1:00,230.00,,,
1/2/2018 2:00,190.00,,,
1/2/2018 3:00,210.00,,,
1/2/2018 4:00,250.00,,,
1/2/2018 5:00,250.00,,,
1/2/2018 6:00,200.00,,,
1/2/2018 7:00,240.00,,,
1/2/2018 8:00,300.00,,,
1/2/2018 9:00,220.00,,,
1/2/2018 10:00,220.00,,,
1/2/2018 11:00,110.00,,,
1/2/2018 12:00,180.00,,,
1/2/2018 13:00,190.00,,,
1/2/2018 14:00,160.00,,,
1/2/2018 15:00,210.00,,,
1/2/2018 16:00,130.00,,,
1/2/2018 17:00,140.00,,,
1/2/2018 18:00,170.00,,,
1/2/2018 19:00,230.00,,,
1/2/2018 20:00,190.00,,,
1/2/2018 21:00,210.00,,,
1/2/2018 22:00,200.00,,,
1/2/2018 23:00,230.00,,,
1/3/2018 0:00,230.00,,,
1/3/2018 1:00,220.00,,,
1/3/2018 2:00,200.00,,,
1/3/2018 3:00,310.00,,,
1/3/2018 4:00,290.00,,,
1/3/2018 5:00,160.00,,,
1/3/2018 6:00,240.00,,,
1/3/2018 7:00,290.00,,,
1/3/2018 8:00,190.00,,,
1/3/2018 9:00,220.00,,,
1/3/2018 10:00,220.00,,,
1/3/2018 11:00,230.00,,,
1/3/2018 12:00,190.00,,,
1/3/2018 13:00,170.00,,,
1/3/2018 14:00,110.00,,,
1/3/2018 15:00,180.00,,,
1/3/2018 16:00,150.00,,,
1/3/2018 17:00,200.00,,,
1/3/2018 18:00,180.00,,,
1/3/2018 19:00,200.00,,,
1/3/2018 20:00,250.00,,,
1/3/2018 21:00,180.00,,,
