Date,T_DB,T_DP,RH,Atm_Press
2018-01-01 0:00:00,1.7,-6.7,53.61,87782.76
2018-01-01 1:00:00,-0.6,-6.1,66.29,87811.77
2018-01-01 2:00:00,-0.6,-6.1,66.29,87840.76
2018-01-01 3:00:00,-0.6,-6.7,63.31,87840.76
2018-01-01 4:00:00,-1.7,-5.6,74.66,87840.76
2018-01-01 5:00:00,-1.1,-5.6,71.44,87869.77
2018-01-01 6:00:00,-1.1,-5.6,71.44,87898.77
2018-01-01 7:00:00,-1.1,-5,74.77,87898.77
2018-01-01 8:00:00,-2.8,-6.1,77.96,87898.77
2018-01-01 9:00:00,-2.8,-6.1,77.96,87927.76
2018-01-01 10:00:00,-2.8,-6.1,77.96,87927.76
2018-01-01 11:00:00,-3.3,-6.1,80.92,87898.77
2018-01-01 12:00:00,-3.3,-6.1,80.92,87898.77
2018-01-01 13:00:00,-5,-7.2,84.5,87927.76
2018-01-01 14:00:00,-4.4,-6.1,87.88,87956.77
2018-01-01 15:00:00,-4.4,-6.1,87.88,87985.76
2018-01-01 16:00:00,-3.3,-6.1,80.92,87985.76
2018-01-01 17:00:00,-0.6,-5,72.08,87985.76
2018-01-01 18:00:00,2.2,-5.6,56.27,88014.77
2018-01-01 19:00:00,3.9,-5,52.21,87985.76
2018-01-01 20:00:00,4.4,-4.4,52.75,87956.77
2018-01-01 21:00:00,5,-3.9,52.53,87898.77
2018-01-01 22:00:00,5.6,-5,46.37,87898.77
2018-01-01 23:00:00,5,-4.4,50.59,87898.77
2018-01-02 0:00:00,2.2,-5,58.89,87898.77
2018-01-02 1:00:00,1.1,-3.3,72.42,87927.76
2018-01-02 2:00:00,0,-4.4,72.2,87956.77
2018-01-02 3:00:00,-1.7,-5,78.14,87985.76
2018-01-02 4:00:00,-1.7,-4.4,81.77,88014.77
2018-01-02 5:00:00,-1.7,-3.9,84.9,88043.77
2018-01-02 6:00:00,-1.7,-4.4,81.77,88101.77
2018-01-02 7:00:00,-2.2,-4.4,84.84,88130.76
2018-01-02 8:00:00,-1.7,-3.9,84.9,88130.76
2018-01-02 9:00:00,-2.8,-4.4,88.71,88188.77
2018-01-02 10:00:00,-3.3,-5.6,84.07,88217.76
2018-01-02 11:00:00,-3.3,-5.6,84.07,88275.76
2018-01-02 12:00:00,-3.3,-6.1,80.92,88275.76
2018-01-02 13:00:00,-3.9,-6.1,84.64,88362.76
2018-01-02 14:00:00,-3.9,-6.7,80.83,88391.77
2018-01-02 15:00:00,-4,-6.7,79.58,88420.76
2018-01-02 16:00:00,-3.3,-6.1,80.92,88449.76
2018-01-02 17:00:00,-1.1,-5,74.77,88536.77
2018-01-02 18:00:00,1.1,-3.9,69.24,88565.77
2018-01-02 19:00:00,2.8,-4.4,59.05,88536.77
2018-01-02 20:00:00,5.6,-4.4,48.52,88420.76
2018-01-02 21:00:00,6.7,-4.4,44.97,88333.77
2018-01-02 22:00:00,5,-3.3,54.94,88304.76
2018-01-02 23:00:00,5,-3.9,52.53,88304.76
2018-01-03 0:00:00,1.1,-5,63.72,88246.77
2018-01-03 1:00:00,-0.6,-4.4,75.43,88304.76
2018-01-03 2:00:00,-1.7,-5,78.14,88275.76
2018-01-03 3:00:00,-1.7,-5,78.14,88333.77
2018-01-03 4:00:00,-1.7,-5,78.14,88333.77
2018-01-03 5:00:00,-1.7,-5,78.14,88362.76
2018-01-03 6:00:00,-2.2,-5.6,77.47,88362.76
2018-01-03 7:00:00,-2.8,-5.6,80.99,88333.77
2018-01-03 8:00:00,-3.9,-6.1,84.64,88304.76
2018-01-03 9:00:00,-3.9,-6.7,80.83,88275.76
2018-01-03 10:00:00,-3.3,-6.7,77.28,88304.76
2018-01-03 11:00:00,-3.9,-6.7,80.83,88217.76
2018-01-03 12:00:00,-3.3,-7.2,74.36,88159.76
2018-01-03 13:00:00,-5,-7.8,80.67,88130.76
2018-01-03 14:00:00,-4.4,-7.2,80.76,88130.76
2018-01-03 15:00:00,-5,-7.8,80.67,88130.76
2018-01-03 16:00:00,-3.3,-6.7,77.28,88101.77
2018-01-03 17:00:00,-1.7,-7.2,66.03,88130.76
2018-01-03 18:00:00,0,-7.2,58.31,88072.76
2018-01-03 19:00:00,0.6,-3.9,71.78,88014.77
2018-01-03 20:00:00,2.8,-5,56.43,87898.77
2018-01-03 21:00:00,3.9,-5,52.21,87840.76
2018-01-03 22:00:00,3.9,-6.1,48.02,87753.77
2018-01-03 23:00:00,2.8,-5,56.43,87753.77
2018-01-04 0:00:00,1.1,-5,63.72,87753.77
2018-01-04 1:00:00,-1.1,-3.9,81.24,87724.77
2018-01-04 2:00:00,-2.2,-5.6,77.47,87753.77
2018-01-04 3:00:00,-1.7,-5.6,74.66,87753.77
2018-01-04 4:00:00,-1.7,-4.4,81.77,87782.76
2018-01-04 5:00:00,-1.7,-5,78.14,87782.76
2018-01-04 6:00:00,-2.8,-4.4,88.71,87840.76
2018-01-04 7:00:00,-3.3,-5.6,84.07,87811.77
