Date,T_DB,T_DP,RH,Atm_Press
2018-1-01 00:00:00,0,-5.6,67,87400
2018-1-01 01:00:00,-2.8,-6.1,78,87400
2018-1-01 02:00:00,-2.2,-6.1,75,87300
2018-1-01 03:00:00,-2.2,-6.1,75,87300
2018-1-01 04:00:00,-2.8,-6.7,75,87200
2018-1-01 05:00:00,-3.3,-6.7,78,87200
2018-1-01 06:00:00,-3.9,-6.7,81,87200
2018-1-01 07:00:00,-2.2,-7.2,69,87100
2018-1-01 08:00:00,-2.2,-4.4,85,87100
2018-1-01 09:00:00,2.2,-5,59,87100
2018-1-01 10:00:00,5,-5,49,86900
2018-1-01 11:00:00,7.8,-6.7,36,86700
2018-1-01 12:00:00,4.4,-2.2,62,86600
2018-1-01 13:00:00,3.9,-3.3,60,86500
2018-1-01 14:00:00,2.8,-2.2,70,86500
2018-1-01 15:00:00,2.2,-2.2,73,86600
2018-1-01 16:00:00,1.1,-2.2,79,86500
2018-1-01 17:00:00,0.6,-1.7,85,86400
2018-1-01 18:00:00,1.7,-2.8,73,86200
2018-1-01 19:00:00,5,-6.1,45,86300
2018-1-01 20:00:00,1.1,-2.2,79,86200
2018-1-01 21:00:00,0.6,-2.2,82,86200
2018-1-01 22:00:00,2.8,-3.9,62,86200
2018-1-01 23:00:00,0.6,-2.8,79,86200
2018-1-02 00:00:00,5.6,-7.2,40,86100
2018-1-02 01:00:00,4.4,-5.6,49,86200
2018-1-02 02:00:00,1.1,-2.2,79,86200
2018-1-02 03:00:00,1.7,-3.3,70,86200
2018-1-02 04:00:00,2.2,-3.9,64,86200
2018-1-02 05:00:00,0.6,-1.1,89,86200
2018-1-02 06:00:00,0,0,100,86300
2018-1-02 07:00:00,0,-0.6,96,86300
2018-1-02 08:00:00,0,0,100,86400
2018-1-02 09:00:00,0,0,100,86400
2018-1-02 10:00:00,0.6,-0.6,92,86500
2018-1-02 11:00:00,-0.6,-1.7,92,86500
2018-1-02 12:00:00,-1.7,-2.8,92,86600
2018-1-02 13:00:00,-1.1,-2.8,89,86600
2018-1-02 14:00:00,-1.7,-5,78,86600
2018-1-02 15:00:00,-2.2,-5,82,86700
2018-1-02 16:00:00,-2.8,-4.4,89,86700
2018-1-02 17:00:00,-4.4,-5,96,86800
2018-1-02 18:00:00,-4.4,-5,96,86800
2018-1-02 19:00:00,-3.9,-7.2,78,86900
2018-1-02 20:00:00,-5,-8.3,78,86900
2018-1-02 21:00:00,-5,-7.8,81,87000
2018-1-02 22:00:00,-8.3,-11.1,81,87000
2018-1-02 23:00:00,-8.9,-11.7,81,87100
2018-1-03 00:00:00,-11.1,-12.8,88,87100
2018-1-03 01:00:00,-9.4,-11.7,84,87100
2018-1-03 02:00:00,-10.6,-11.7,92,87200
2018-1-03 03:00:00,-10,-11.7,88,87200
2018-1-03 04:00:00,-13.3,-13.9,96,87300
2018-1-03 05:00:00,-12.8,-13.9,92,87400
2018-1-03 06:00:00,-12.2,-13.3,92,87400
2018-1-03 07:00:00,-11.1,-12.8,88,87500
2018-1-03 08:00:00,-11.1,-11.7,96,87600
2018-1-03 09:00:00,-8.3,-10,88,87700
2018-1-03 10:00:00,-4.4,-10,66,87700
2018-1-03 11:00:00,-3.3,-8.3,69,87800
2018-1-03 12:00:00,-3.3,-8.9,66,87700
2018-1-03 13:00:00,-3.3,-9.4,63,87800
2018-1-03 14:00:00,-2.8,-8.9,63,87800
2018-1-03 15:00:00,-4.4,-11.7,58,87900
2018-1-03 16:00:00,-2.8,-11.7,51,87900
2018-1-03 17:00:00,-8.3,-11.1,81,87900
2018-1-03 18:00:00,-9.4,-11.7,84,88000
2018-1-03 19:00:00,-8.9,-10.6,88,88000
2018-1-03 20:00:00,-10.6,-12.2,88,88000
2018-1-03 21:00:00,-10,-12.8,80,88100
2018-1-03 22:00:00,-10,-12.8,80,88100
2018-1-03 23:00:00,-10,-13.3,77,88100
2018-1-04 00:00:00,-11.1,-13.9,80,88100
2018-1-04 01:00:00,-11.7,-13.3,88,88100
2018-1-04 02:00:00,-8.3,-10.6,84,88200
2018-1-04 03:00:00,-7.8,-10.6,81,88200
2018-1-04 04:00:00,-7.2,-10,81,88200
2018-1-04 05:00:00,-7.8,-10,84,88200
2018-1-04 06:00:00,-7.2,-9.4,84,88200
2018-1-04 07:00:00,-6.7,-9.4,81,88200
2018-1-04 08:00:00,-7.2,-10,81,88200
2018-1-04 09:00:00,-6.1,-10,74,88300
2018-1-04 10:00:00,-5,-9.4,71,88200
2018-1-04 11:00:00,-3.3,-8.3,69,88100
2018-1-04 12:00:00,-2.2,-8.9,61,88100
2018-1-04 13:00:00,-2.8,-8.9,63,88000
2018-1-04 14:00:00,-2.2,-9.4,58,87900
2018-1-04 15:00:00,-2.2,-7.8,66,87900
2018-1-04 16:00:00,-2.2,-8.3,63,87900
2018-1-04 17:00:00,-2.8,-8.3,66,87900
2018-1-04 18:00:00,-2.8,-8.9,63,87800
2018-1-04 19:00:00,-3.3,-8.9,66,87800
2018-1-04 20:00:00,-3.3,-8.3,69,87900
2018-1-04 21:00:00,-2.8,-7.8,69,87900
2018-1-04 22:00:00,-2.8,-7.2,72,87900
2018-1-04 23:00:00,-2.8,-7.2,72,87800
2018-1-05 00:00:00,-2.8,-7.2,72,87900
2018-1-05 01:00:00,-2.8,-7.2,72,87800
2018-1-05 02:00:00,-3.3,-5.6,85,87800
2018-1-05 03:00:00,-3.3,-5,88,87900
2018-1-05 04:00:00,-3.9,-4.4,96,87900
2018-1-05 05:00:00,-3.3,-4.4,92,88000
2018-1-05 06:00:00,-3.3,-4.4,92,88000
2018-1-05 07:00:00,-3.3,-4.4,92,88000
2018-1-05 08:00:00,-4.4,-5.6,92,88100
2018-1-05 09:00:00,-2.8,-4.4,89,88200
2018-1-05 10:00:00,-0.6,-4.4,75,88200
2018-1-05 11:00:00,0.6,-3.9,73,88200
2018-1-05 12:00:00,1.7,-3.9,67,88200
2018-1-05 13:00:00,1.7,-2.8,73,88200
2018-1-05 14:00:00,1.1,-3.3,73,88200
