,0701-UNIVERSITY STUDENT APTS TOWER 1 CHW Meter Energy Total Mode 1 BTU,,
01/01/2018 12:00 AM,0,,
01/01/2018 12:15 AM,0,,
01/01/2018 12:30 AM,0,,
01/01/2018 12:45 AM,0,,
01/01/2018 1:00 AM,0,0,
01/01/2018 1:15 AM,0,,
01/01/2018 1:30 AM,0,,
01/01/2018 1:45 AM,0,,
01/01/2018 2:00 AM,0,0,
01/01/2018 2:15 AM,0,,
01/01/2018 2:30 AM,0,,
01/01/2018 2:45 AM,0,,
01/01/2018 3:00 AM,0,,
01/01/2018 3:15 AM,0,,
01/01/2018 3:30 AM,0,,
01/01/2018 3:45 AM,0,,
01/01/2018 4:00 AM,0,,
01/01/2018 4:15 AM,0,,
01/01/2018 4:30 AM,0,,
01/01/2018 4:45 AM,0,,
01/01/2018 5:00 AM,0,,
01/01/2018 5:15 AM,0,,
01/01/2018 5:30 AM,0,,
01/01/2018 5:45 AM,0,,
01/01/2018 6:00 AM,0,,
01/01/2018 6:15 AM,0,,
01/01/2018 6:30 AM,0,,
01/01/2018 6:45 AM,0,,
01/01/2018 7:00 AM,0,,
01/01/2018 7:15 AM,0,,
01/01/2018 7:30 AM,0,,
01/01/2018 7:45 AM,0,,
01/01/2018 8:00 AM,0,,
01/01/2018 8:15 AM,0,,
01/01/2018 8:30 AM,0,,
01/01/2018 8:45 AM,0,,
01/01/2018 9:00 AM,0,,
01/01/2018 9:15 AM,0,,
01/01/2018 9:30 AM,0,,
01/01/2018 9:45 AM,0,,
01/01/2018 10:00 AM,0,,
01/01/2018 10:15 AM,0,,
01/01/2018 10:30 AM,0,,
01/01/2018 10:45 AM,0,,
01/01/2018 11:00 AM,0,,
01/01/2018 11:15 AM,0,,
01/01/2018 11:30 AM,0,,
01/01/2018 11:45 AM,0,,
01/01/2018 12:00 PM,0,,
01/01/2018 12:15 PM,0,,
01/01/2018 12:30 PM,0,,
01/01/2018 12:45 PM,0,,
01/01/2018 1:00 PM,0,,
01/01/2018 1:15 PM,0,,
01/01/2018 1:30 PM,0,,
01/01/2018 1:45 PM,0,,
01/01/2018 2:00 PM,0,,
01/01/2018 2:15 PM,0,,
01/01/2018 2:30 PM,0,,
01/01/2018 2:45 PM,0,,
01/01/2018 3:00 PM,0,,
01/01/2018 3:15 PM,0,,
01/01/2018 3:30 PM,0,,
01/01/2018 3:45 PM,0,,
01/01/2018 4:00 PM,0,,
01/01/2018 4:15 PM,0,,
01/01/2018 4:30 PM,0,,
01/01/2018 4:45 PM,0,,
01/01/2018 5:00 PM,0,,
01/01/2018 5:15 PM,0,,
01/01/2018 5:30 PM,0,,
01/01/2018 5:45 PM,0,,
01/01/2018 6:00 PM,0,,
01/01/2018 6:15 PM,0,,
01/01/2018 6:30 PM,0,,
01/01/2018 6:45 PM,0,,
01/01/2018 7:00 PM,0,,
01/01/2018 7:15 PM,0,,
01/01/2018 7:30 PM,0,,
01/01/2018 7:45 PM,0,,
01/01/2018 8:00 PM,0,,
01/01/2018 8:15 PM,0,,
01/01/2018 8:30 PM,0,,
01/01/2018 8:45 PM,0,,
01/01/2018 9:00 PM,0,,
01/01/2018 9:15 PM,0,,
01/01/2018 9:30 PM,0,,
01/01/2018 9:45 PM,0,,
01/01/2018 10:00 PM,0,,
01/01/2018 10:30 PM,0,,
01/01/2018 10:45 PM,0,,
01/01/2018 11:00 PM,0,,
01/01/2018 11:15 PM,0,,
01/01/2018 11:30 PM,0,,
01/01/2018 11:45 PM,0,,
01/02/2018 12:00 AM,0,,
02/01/2018 12:15 AM,0,,
02/01/2018 12:30 AM,0,,
02/01/2018 12:45 AM,0,,
02/01/2018 1:00 AM,0,,
02/01/2018 1:15 AM,0,,
02/01/2018 1:30 AM,0,,
02/01/2018 1:45 AM,0,,
02/01/2018 2:00 AM,0,,
02/01/2018 2:15 AM,0,,
02/01/2018 2:30 AM,0,,
02/01/2018 2:45 AM,0,,
02/01/2018 3:00 AM,0,,
02/01/2018 3:15 AM,0,,
02/01/2018 3:30 AM,0,,
02/01/2018 3:45 AM,0,,
02/01/2018 4:00 AM,0,,
02/01/2018 4:15 AM,0,,
02/01/2018 4:30 AM,0,,
