WB_OA,T_condr,T_conds,V_dot_cond,Pump_head,VFD,P_fan_CT
17,35,22,80.63,33.42,100,7.46
14,35,27,80.63,33.42,50,0.93
16,35,28.1,80.63,33.42,50,0.93
21.1,35,25,80.63,33.42,100,7.46
21.1,35,25.23,81,33.42,95,6.4
21.1,35,25.49,81,33.42,90,5.44
21.1,35,25.77,81,33.42,85,4.58
21.1,35,26.06,81,33.42,80,3.82
21.1,35,26.38,81,33.42,75,3.15
21.1,35,26.73,81,33.42,70,2.56
21.1,35,27.1,81,33.42,65,2.05
21.1,35,27.49,81,33.42,60,1.61
21.1,35,27.92,81,33.42,55,1.24
21.1,35,28.39,81,33.42,50,0.93
21.1,35,29.46,81,33.42,40,0.48
21.1,35,30.07,81,33.42,35,0.32
21.1,35,30.75,81,33.42,30,0.2
21.1,35,31.51,81,33.42,25,0.12
20,35,24.35,81,33.42,100,7.46
20,35,24.61,81,33.42,95,6.4
20,35,24.89,81,33.42,90,5.44
20,35,25.19,81,33.42,85,4.58
20,35,25.51,81,33.42,80,3.82
20,35,25.85,81,33.42,75,3.15
20,35,26.22,81,33.42,70,2.56
20,35,26.61,81,33.42,65,2.05
20,35,27.04,81,33.42,60,1.61
20,35,27.5,81,33.42,55,1.24
20,35,28,81,33.42,50,0.93
20,35,29.13,81,33.42,40,0.48
20,35,29.78,81,33.42,35,0.32
20,35,30.5,81,33.42,30,0.2
20,35,31.31,81,33.42,25,0.12
20,35,25,81,33.42,88.04,5.1
20,34,25,81,33.42,83.27,4.31
20,33,25,81,33.42,78.1,3.56
20,32,25,81,33.42,72.4,2.84
20,30,25,81,33.42,59,1.54
20,28,25,81,33.42,42.28,0.57
18,35,25,81,33.42,74.1,3.04
18,34,25,81,33.42,69.8,2.54
18,33,25,81,33.42,65.1,2.06
18,32,25,81,33.42,60.07,1.62
18,30,25,81,33.42,48.48,0.85
18,28,25,81,33.42,34.48,0.31
16,35,25,81,33.42,64.96,2.05
16,34,25,81,33.42,61.04,1.7
16,33,25,81,33.42,56.81,1.37
16,32,25,81,33.42,52.22,1.07
16,30,25,81,33.42,41.94,0.56
16,29,25,81,33.42,33.42,0.35
14,35,25,81,33.42,58.56,1.5
14,34,25,81,33.42,54.86,1.24
14,33,25,81,33.42,50.94,0.99
14,32,25,81,33.42,46.66,0.76
14,30,25,81,33.42,37.36,0.4
21,35,25,81,33.42,98.3,7.09
21,34,25,81,33.42,93.3,6.06
21,33,25,81,33.42,87.79,5.05
21,32,25,81,33.42,81.66,4.07
21,30,25,81,33.42,67.16,2.26
21,28,25,81,33.42,48.52,0.86
21,35,25,60,33.42,71.56,2.74
21,34,25,60,33.42,67.92,2.34
21,33,25,60,33.42,63.87,1.95
21,32,25,60,33.42,59.46,1.57
21,30,25,60,33.42,48.94,0.88
21,28,25,60,33.42,35.21,0.33
19,34,25,60,33.42,55.08,1.25
19,33,25,60,33.42,51.47,1.02
19,32,25,60,33.42,47.6,0.81
19,30,25,60,33.42,38.76,0.44
19,29,25,60,33.42,33.5,0.29
22,34,25,60,33.42,78.1,3.56
22,33,25,60,33.42,73.83,3
22,32,25,60,33.42,69,2.46
22,30,25,60,33.42,57.54,1.43
22,29,25,81,33.42,50.45,0.96
22,35,25,72,33.42,99.41,7.33
21,35,25,72,33.42,86.79,4.88
20,35,25,72,33.42,77.72,3.51
19,35,25,72,33.42,70.85,2.66
18,35,25,72,33.42,65.38,2.09
17,35,25,72,33.42,61.01,1.7
16,35,25,72,33.42,57.83,1.41
23,33,25,81,33.42,98.09,7.04
22,33,25,81,33.42,79.04,3.69
21,33,25,81,33.42,67.16,2.26
20,33,25,81,33.42,59.05,1.54
19,33,25,81,33.42,53.06,1.12
18,33,25,81,33.42,48.48,0.85
17,33,25,81,33.42,44.92,0.68
16,33,25,81,33.42,41.94,0.56
21,34,25,81,33.42,93.3,6.06
20,34,25,81,33.42,83.27,4.31
19,34,25,81,33.42,75.73,3.24
18,34,25,81,33.42,69.8,2.54
17,34,25,81,33.42,64.97,2.05
16,34,25,81,33.42,61.04,1.7
15,34,25,81,33.42,57.73,1.44
14,34,25,81,33.42,54.86,1.24
13,34,25,81,33.42,52.46,1.08
12,34,25,81,33.42,50.33,0.96
10,34,25,81,33.42,46.69,0.76
8,34,25,81,33.42,44.12,0.65
9,34,25,81,33.42,45.39,0.7
5,34,25,81,33.42,40.75,0.51
3,34,25,81,33.42,39,0.45
1,34,25,81,33.42,37.41,0.4
